record_id,road_id,road_name,segment_name,area,road_class,segment_length_km,center_lat,center_lon,distance_from_aust_km,day_of_week,day_type,hour,time_slot,weather_condition,congestion_index_0_100,traffic_level,db_traffic_level,avg_speed_car_kph,avg_speed_motorbike_kph,avg_speed_rickshaw_kph,avg_speed_bus_kph,avg_speed_walk_kph,travel_min_per_km_car,travel_min_per_km_motorbike,travel_min_per_km_rickshaw,travel_min_per_km_bus,travel_min_per_km_walk,bus_available,expected_bus_wait_min,road_condition_score_0_100,synthetic_hazard_probability,data_status,notes
T0000001,R0001,Love Road,Love Road - Segment 1,Tejgaon Industrial Area,local,1.4,23.7636,90.4069,0.004,Monday,Weekday,0,00:00,Clear,46,Moderate,MODERATE,13.6,19.4,9.1,8.5,4.7,4.427,3.1,6.592,7.071,12.766,0,,74,0.091,SYNTHETIC_DEVELOPMENT,"AUST center: 23.76361,90.40694; road catalog curated for SafePath prototyping; traffic values generated synthetically"
T0000002,R0001,Love Road,Love Road - Segment 1,Tejgaon Industrial Area,local,1.4,23.7636,90.4069,0.004,Monday,Weekday,1,01:00,Clear,24,Light,LOW,18.1,22.1,10.0,11.3,4.7,3.32,2.721,5.994,5.303,12.766,0,,73,0.076,SYNTHETIC_DEVELOPMENT,"AUST center: 23.76361,90.40694; road catalog curated for SafePath prototyping; traffic values generated synthetically"
T0000003,R0001,Love Road,Love Road - Segment 1,Tejgaon Industrial Area,local,1.4,23.7636,90.4069,0.004,Monday,Weekday,2,02:00,Clear,19,Free,LOW,19.1,22.7,10.2,12.0,4.7,3.142,2.647,5.873,5.018,12.766,0,,71,0.051,SYNTHETIC_DEVELOPMENT,"AUST center: 23.76361,90.40694; road catalog curated for SafePath prototyping; traffic values generated synthetically"
T0000004,R0001,Love Road,Love Road - Segment 1,Tejgaon Industrial Area,local,1.4,23.7636,90.4069,0.004,Monday,Weekday,3,03:00,Clear,19,Free,LOW,19.1,22.7,10.2,12.0,4.7,3.142,2.647,5.873,5.018,12.766,0,,85,0.074,SYNTHETIC_DEVELOPMENT,"AUST center: 23.76361,90.40694; road catalog curated for SafePath prototyping; traffic values generated synthetically"
T0000005,R0001,Love Road,Love Road - Segment 1,Tejgaon Industrial Area,local,1.4,23.7636,90.4069,0.004,Monday,Weekday,4,04:00,Clear,16,Free,LOW,19.7,23.0,10.3,12.3,4.7,3.043,2.605,5.803,4.861,12.766,0,,77,0.042,SYNTHETIC_DEVELOPMENT,"AUST center: 23.76361,90.40694; road catalog curated for SafePath prototyping; traffic values generated synthetically"
T0000006,R0001,Love Road,Love Road - Segment 1,Tejgaon Industrial Area,local,1.4,23.7636,90.4069,0.004,Monday,Weekday,5,05:00,Clear,22,Light,LOW,18.5,22.3,10.1,11.6,4.7,3.246,2.691,5.945,5.185,12.766,0,,75,0.066,SYNTHETIC_DEVELOPMENT,"AUST center: 23.76361,90.40694; road catalog curated for SafePath prototyping; traffic values generated synthetically"
T0000007,R0001,Love Road,Love Road - Segment 1,Tejgaon Industrial Area,local,1.4,23.7636,90.4069,0.004,Monday,Weekday,6,06:00,Clear,40,Moderate,MODERATE,14.8,20.1,9.3,9.3,4.7,4.058,2.987,6.417,6.481,12.766,0,,68,0.096,SYNTHETIC_DEVELOPMENT,"AUST center: 23.76361,90.40694; road catalog curated for SafePath prototyping; traffic values generated synthetically"
T0000008,R0001,Love Road,Love Road - Segment 1,Tejgaon Industrial Area,local,1.4,23.7636,90.4069,0.004,Monday,Weekday,7,07:00,Rain,67,Heavy,HEAVY,9.2,16.8,8.2,5.8,4.7,6.493,3.577,7.285,10.37,12.766,0,,78,0.163,SYNTHETIC_DEVELOPMENT,"AUST center: 23.76361,90.40694; road catalog curated for SafePath prototyping; traffic values generated synthetically"
T0000009,R0001,Love Road,Love Road - Segment 1,Tejgaon Industrial Area,local,1.4,23.7636,90.4069,0.004,Monday,Weekday,8,08:00,Clear,88,Severe,SEVERE,4.9,14.2,7.4,4,4.7,12.174,4.226,8.141,15.0,12.766,0,,76,0.193,SYNTHETIC_DEVELOPMENT,"AUST center: 23.76361,90.40694; road catalog curated for SafePath prototyping; traffic values generated synthetically"
T0000010,R0001,Love Road,Love Road - Segment 1,Tejgaon Industrial Area,local,1.4,23.7636,90.4069,0.004,Monday,Weekday,9,09:00,Clear,89,Severe,SEVERE,4.7,14.1,7.3,4,4.7,12.703,4.263,8.187,15.0,12.766,0,,80,0.186,SYNTHETIC_DEVELOPMENT,"AUST center: 23.76361,90.40694; road catalog curated for SafePath prototyping; traffic values generated synthetically"
