traffic_road_id,safe_path_road_segment_id,match_method,match_distance_meters,match_confidence
R0001,,UNMAPPED_DB_SEGMENT_NOT_SEEDED,,0.0
R0002,,UNMAPPED_DB_SEGMENT_NOT_SEEDED,,0.0
R0003,,UNMAPPED_DB_SEGMENT_NOT_SEEDED,,0.0
R0004,,UNMAPPED_DB_SEGMENT_NOT_SEEDED,,0.0
R0005,,UNMAPPED_DB_SEGMENT_NOT_SEEDED,,0.0
R0006,,UNMAPPED_DB_SEGMENT_NOT_SEEDED,,0.0
R0007,,UNMAPPED_DB_SEGMENT_NOT_SEEDED,,0.0
R0008,,UNMAPPED_DB_SEGMENT_NOT_SEEDED,,0.0
R0009,,UNMAPPED_DB_SEGMENT_NOT_SEEDED,,0.0
R0010,,UNMAPPED_DB_SEGMENT_NOT_SEEDED,,0.0
R0011,,UNMAPPED_DB_SEGMENT_NOT_SEEDED,,0.0
R0012,,UNMAPPED_DB_SEGMENT_NOT_SEEDED,,0.0
R0013,,UNMAPPED_DB_SEGMENT_NOT_SEEDED,,0.0
R0014,,UNMAPPED_DB_SEGMENT_NOT_SEEDED,,0.0
R0015,,UNMAPPED_DB_SEGMENT_NOT_SEEDED,,0.0
R0016,,UNMAPPED_DB_SEGMENT_NOT_SEEDED,,0.0
R0017,,UNMAPPED_DB_SEGMENT_NOT_SEEDED,,0.0
R0018,,UNMAPPED_DB_SEGMENT_NOT_SEEDED,,0.0
R0019,,UNMAPPED_DB_SEGMENT_NOT_SEEDED,,0.0
R0020,,UNMAPPED_DB_SEGMENT_NOT_SEEDED,,0.0
R0021,,UNMAPPED_DB_SEGMENT_NOT_SEEDED,,0.0
R0022,,UNMAPPED_DB_SEGMENT_NOT_SEEDED,,0.0
R0023,,UNMAPPED_DB_SEGMENT_NOT_SEEDED,,0.0
R0024,,UNMAPPED_DB_SEGMENT_NOT_SEEDED,,0.0
R0025,,UNMAPPED_DB_SEGMENT_NOT_SEEDED,,0.0
R0026,,UNMAPPED_DB_SEGMENT_NOT_SEEDED,,0.0
R0027,,UNMAPPED_DB_SEGMENT_NOT_SEEDED,,0.0
R0028,,UNMAPPED_DB_SEGMENT_NOT_SEEDED,,0.0
R0029,,UNMAPPED_DB_SEGMENT_NOT_SEEDED,,0.0
R0030,,UNMAPPED_DB_SEGMENT_NOT_SEEDED,,0.0
R0031,,UNMAPPED_DB_SEGMENT_NOT_SEEDED,,0.0
R0032,,UNMAPPED_DB_SEGMENT_NOT_SEEDED,,0.0
R0033,,UNMAPPED_DB_SEGMENT_NOT_SEEDED,,0.0
R0034,,UNMAPPED_DB_SEGMENT_NOT_SEEDED,,0.0
R0035,,UNMAPPED_DB_SEGMENT_NOT_SEEDED,,0.0
R0036,,UNMAPPED_DB_SEGMENT_NOT_SEEDED,,0.0
R0037,,UNMAPPED_DB_SEGMENT_NOT_SEEDED,,0.0
R0038,,UNMAPPED_DB_SEGMENT_NOT_SEEDED,,0.0
R0039,,UNMAPPED_DB_SEGMENT_NOT_SEEDED,,0.0
R0040,,UNMAPPED_DB_SEGMENT_NOT_SEEDED,,0.0
R0041,,UNMAPPED_DB_SEGMENT_NOT_SEEDED,,0.0
R0042,,UNMAPPED_DB_SEGMENT_NOT_SEEDED,,0.0
R0043,,UNMAPPED_DB_SEGMENT_NOT_SEEDED,,0.0
R0044,,UNMAPPED_DB_SEGMENT_NOT_SEEDED,,0.0
R0045,,UNMAPPED_DB_SEGMENT_NOT_SEEDED,,0.0
R0046,,UNMAPPED_DB_SEGMENT_NOT_SEEDED,,0.0
R0047,,UNMAPPED_DB_SEGMENT_NOT_SEEDED,,0.0
R0048,,UNMAPPED_DB_SEGMENT_NOT_SEEDED,,0.0
R0049,,UNMAPPED_DB_SEGMENT_NOT_SEEDED,,0.0
R0050,,UNMAPPED_DB_SEGMENT_NOT_SEEDED,,0.0
R0051,,UNMAPPED_DB_SEGMENT_NOT_SEEDED,,0.0
R0052,,UNMAPPED_DB_SEGMENT_NOT_SEEDED,,0.0
R0053,,UNMAPPED_DB_SEGMENT_NOT_SEEDED,,0.0
R0054,,UNMAPPED_DB_SEGMENT_NOT_SEEDED,,0.0
R0055,,UNMAPPED_DB_SEGMENT_NOT_SEEDED,,0.0
R0056,,UNMAPPED_DB_SEGMENT_NOT_SEEDED,,0.0
R0057,,UNMAPPED_DB_SEGMENT_NOT_SEEDED,,0.0
R0058,,UNMAPPED_DB_SEGMENT_NOT_SEEDED,,0.0
R0059,,UNMAPPED_DB_SEGMENT_NOT_SEEDED,,0.0
R0060,,UNMAPPED_DB_SEGMENT_NOT_SEEDED,,0.0
R0061,,UNMAPPED_DB_SEGMENT_NOT_SEEDED,,0.0
R0062,,UNMAPPED_DB_SEGMENT_NOT_SEEDED,,0.0
R0063,,UNMAPPED_DB_SEGMENT_NOT_SEEDED,,0.0
R0064,,UNMAPPED_DB_SEGMENT_NOT_SEEDED,,0.0
R0065,,UNMAPPED_DB_SEGMENT_NOT_SEEDED,,0.0
R0066,,UNMAPPED_DB_SEGMENT_NOT_SEEDED,,0.0
R0067,,UNMAPPED_DB_SEGMENT_NOT_SEEDED,,0.0
R0068,,UNMAPPED_DB_SEGMENT_NOT_SEEDED,,0.0
R0069,,UNMAPPED_DB_SEGMENT_NOT_SEEDED,,0.0
R0070,,UNMAPPED_DB_SEGMENT_NOT_SEEDED,,0.0
R0071,,UNMAPPED_DB_SEGMENT_NOT_SEEDED,,0.0
R0072,,UNMAPPED_DB_SEGMENT_NOT_SEEDED,,0.0
R0073,,UNMAPPED_DB_SEGMENT_NOT_SEEDED,,0.0
R0074,,UNMAPPED_DB_SEGMENT_NOT_SEEDED,,0.0
R0075,,UNMAPPED_DB_SEGMENT_NOT_SEEDED,,0.0
R0076,,UNMAPPED_DB_SEGMENT_NOT_SEEDED,,0.0
R0077,,UNMAPPED_DB_SEGMENT_NOT_SEEDED,,0.0
R0078,,UNMAPPED_DB_SEGMENT_NOT_SEEDED,,0.0
R0079,,UNMAPPED_DB_SEGMENT_NOT_SEEDED,,0.0
R0080,,UNMAPPED_DB_SEGMENT_NOT_SEEDED,,0.0
R0081,,UNMAPPED_DB_SEGMENT_NOT_SEEDED,,0.0
R0082,,UNMAPPED_DB_SEGMENT_NOT_SEEDED,,0.0
R0083,,UNMAPPED_DB_SEGMENT_NOT_SEEDED,,0.0
R0084,,UNMAPPED_DB_SEGMENT_NOT_SEEDED,,0.0
R0085,,UNMAPPED_DB_SEGMENT_NOT_SEEDED,,0.0
R0086,,UNMAPPED_DB_SEGMENT_NOT_SEEDED,,0.0
R0087,,UNMAPPED_DB_SEGMENT_NOT_SEEDED,,0.0
R0088,,UNMAPPED_DB_SEGMENT_NOT_SEEDED,,0.0
R0089,,UNMAPPED_DB_SEGMENT_NOT_SEEDED,,0.0
R0090,,UNMAPPED_DB_SEGMENT_NOT_SEEDED,,0.0
R0091,,UNMAPPED_DB_SEGMENT_NOT_SEEDED,,0.0
R0092,,UNMAPPED_DB_SEGMENT_NOT_SEEDED,,0.0
R0093,,UNMAPPED_DB_SEGMENT_NOT_SEEDED,,0.0
R0094,,UNMAPPED_DB_SEGMENT_NOT_SEEDED,,0.0
R0095,,UNMAPPED_DB_SEGMENT_NOT_SEEDED,,0.0
R0096,,UNMAPPED_DB_SEGMENT_NOT_SEEDED,,0.0
R0097,,UNMAPPED_DB_SEGMENT_NOT_SEEDED,,0.0
R0098,,UNMAPPED_DB_SEGMENT_NOT_SEEDED,,0.0
R0099,,UNMAPPED_DB_SEGMENT_NOT_SEEDED,,0.0
R0100,,UNMAPPED_DB_SEGMENT_NOT_SEEDED,,0.0
R0101,,UNMAPPED_DB_SEGMENT_NOT_SEEDED,,0.0
R0102,,UNMAPPED_DB_SEGMENT_NOT_SEEDED,,0.0
R0103,,UNMAPPED_DB_SEGMENT_NOT_SEEDED,,0.0
R0104,,UNMAPPED_DB_SEGMENT_NOT_SEEDED,,0.0
R0105,,UNMAPPED_DB_SEGMENT_NOT_SEEDED,,0.0
R0106,,UNMAPPED_DB_SEGMENT_NOT_SEEDED,,0.0
R0107,,UNMAPPED_DB_SEGMENT_NOT_SEEDED,,0.0
R0108,,UNMAPPED_DB_SEGMENT_NOT_SEEDED,,0.0
R0109,,UNMAPPED_DB_SEGMENT_NOT_SEEDED,,0.0
R0110,,UNMAPPED_DB_SEGMENT_NOT_SEEDED,,0.0
R0111,,UNMAPPED_DB_SEGMENT_NOT_SEEDED,,0.0
R0112,,UNMAPPED_DB_SEGMENT_NOT_SEEDED,,0.0
R0113,,UNMAPPED_DB_SEGMENT_NOT_SEEDED,,0.0
R0114,,UNMAPPED_DB_SEGMENT_NOT_SEEDED,,0.0
R0115,,UNMAPPED_DB_SEGMENT_NOT_SEEDED,,0.0
R0116,,UNMAPPED_DB_SEGMENT_NOT_SEEDED,,0.0
R0117,,UNMAPPED_DB_SEGMENT_NOT_SEEDED,,0.0
R0118,,UNMAPPED_DB_SEGMENT_NOT_SEEDED,,0.0
R0119,,UNMAPPED_DB_SEGMENT_NOT_SEEDED,,0.0
R0120,,UNMAPPED_DB_SEGMENT_NOT_SEEDED,,0.0
R0121,,UNMAPPED_DB_SEGMENT_NOT_SEEDED,,0.0
R0122,,UNMAPPED_DB_SEGMENT_NOT_SEEDED,,0.0
R0123,,UNMAPPED_DB_SEGMENT_NOT_SEEDED,,0.0
R0124,,UNMAPPED_DB_SEGMENT_NOT_SEEDED,,0.0
R0125,,UNMAPPED_DB_SEGMENT_NOT_SEEDED,,0.0
