stop_id,stop_name,latitude,longitude,area
S001,AUST Gate,23.76361,90.40694,Tejgaon Industrial Area
S002,Tejgaon Link,23.759,90.4027,Tejgaon
S003,Farmgate,23.7596,90.3894,Farmgate
S004,Banglamotor,23.7519,90.391,Banglamotor
S005,Panthapath,23.751,90.3825,Panthapath
S006,Dhanmondi 27,23.7558,90.3718,Dhanmondi
S007,Dhanmondi 32,23.7505,90.3748,Dhanmondi
S008,Shahbag,23.738,90.395,Shahbag
S009,Hatirjheel,23.7635,90.4165,Hatirjheel
S010,Rampura,23.76,90.425,Rampura
S011,Badda,23.7898,90.4248,Badda
S012,Gulshan 1,23.779,90.416,Gulshan
S013,Banani,23.793,90.403,Banani
S014,Agargaon,23.777,90.379,Agargaon
S015,Mirpur 10,23.807,90.368,Mirpur
S016,Mohammadpur,23.761,90.363,Mohammadpur
